Gender,CGPA,No. of Placements,No. of Backlogs,Section,Year,Branch,Status
female,6.981,0,1.0,1,10,Biotechnology,Not Placed
female,5.4,0,,1,10,Biotechnology,Not Placed
female,6.6000000000000005,0,,1,10,Biotechnology,Not Placed
female,5.1,0,1.0,1,10,Biotechnology,Not Placed
female,7.1,0,,1,10,Biotechnology,Not Placed
female,7.7,0,,1,10,Biotechnology,Not Placed
female,6.6000000000000005,1,,1,10,Biotechnology,Placed
female,6.2,1,,1,10,Biotechnology,Placed
female,7.1,0,,1,10,Biotechnology,Not Placed
female,7.800000000000001,0,,1,10,Biotechnology,Not Placed
female,8.8,0,,1,10,Biotechnology,Not Placed
female,6.1,1,,1,10,Biotechnology,Placed
female,7.5,1,1.0,1,10,Biotechnology,Placed
female,6.2,0,1.0,1,10,Biotechnology,Not Placed
female,6.5,0,1.0,1,10,Biotechnology,Not Placed
female,4.1,0,0.0,1,10,Biotechnology,Not Placed
female,6.8999999999999995,0,,1,10,Biotechnology,Not Placed
female,6.2,0,2.0,1,10,Biotechnology,Not Placed
female,7.6,0,1.0,1,10,Biotechnology,Not Placed
female,4.2,1,2.0,1,10,Biotechnology,Placed
male,5.4,0,,1,10,Biotechnology,Not Placed
male,7.5,1,,1,10,Biotechnology,Placed
male,6.1,0,2.0,1,10,Biotechnology,Not Placed
male,6.6,1,,1,10,Biotechnology,Placed
male,7.0,0,,1,10,Biotechnology,Not Placed
male,6.15,1,,1,10,Biotechnology,Placed
male,7.523000000000001,0,,1,10,Biotechnology,Not Placed
male,7.6,0,,1,10,Biotechnology,Not Placed
male,7.014,1,,1,10,Biotechnology,Placed
male,6.093,0,,1,10,Biotechnology,Not Placed
male,6.865,1,1.0,1,10,Biotechnology,Placed
male,8.0,1,,1,10,Biotechnology,Placed
male,7.7,1,,1,10,Biotechnology,Placed
male,6.65,1,,1,10,Biotechnology,Placed
male,4.1530000000000005,0,,1,10,Biotechnology,Not Placed
male,7.3950000000000005,0,1.0,1,10,Biotechnology,Not Placed
male,4.1049999999999995,1,4.0,1,10,Biotechnology,Placed
male,7.542,0,,1,10,Biotechnology,Not Placed
male,6.5,0,,1,10,Biotechnology,Not Placed
male,5.96,1,1.0,1,10,Biotechnology,Placed
male,5.6579999999999995,0,3.0,1,10,Biotechnology,Not Placed
male,7.4,1,,1,10,Biotechnology,Placed
male,6.800000000000001,0,,1,10,Biotechnology,Not Placed
male,6.6,0,1.0,1,10,Biotechnology,Not Placed
male,6.800000000000001,1,,1,10,Biotechnology,Placed
male,7.8,1,,1,10,Biotechnology,Placed
male,3.4000000000000004,0,2.0,1,10,Biotechnology,Not Placed
male,7.5,0,,1,10,Biotechnology,Not Placed
male,6.800000000000001,1,,1,10,Biotechnology,Placed
male,7.800000000000001,0,,1,10,Biotechnology,Not Placed
male,7.0,0,1.0,1,10,Biotechnology,Not Placed
male,7.7,1,,1,10,Biotechnology,Placed
male,6.4,1,,1,10,Biotechnology,Placed
male,7.199999999999999,0,,1,10,Biotechnology,Not Placed
male,7.0,0,,1,10,Biotechnology,Not Placed
